title,line_text
AM I NOT AMONG THE EARLY RISERS,the perfection of the morning star
AM I NOT AMONG THE EARLY RISERS,"above the peaks of the houses, and the crowns of the trees"
AM I NOT AMONG THE EARLY RISERS,blue in the first light?
AM I NOT AMONG THE EARLY RISERS,"Do I not see how the trees tremble, as though"
AM I NOT AMONG THE EARLY RISERS,sheets of water flowed over them
AM I NOT AMONG THE EARLY RISERS,"though it is only wind, that common thing,"
AM I NOT AMONG THE EARLY RISERS,"free to everyone, and everything?"
AM I NOT AMONG THE EARLY RISERS,"Have I not thought, for years, what it would be"
AM I NOT AMONG THE EARLY RISERS,"worthy to do, and then gone off, barefoot and with a silver pail,"
AM I NOT AMONG THE EARLY RISERS,"to gather blueberries,"
AM I NOT AMONG THE EARLY RISERS,"thus coming, as I think, upon a right answer?"
AM I NOT AMONG THE EARLY RISERS,"What will ambition do for me that the fox, appearing suddenly"
AM I NOT AMONG THE EARLY RISERS,"at the top of the field,"
AM I NOT AMONG THE EARLY RISERS,"her eyes sharp and confident as she stared into mine,"
AM I NOT AMONG THE EARLY RISERS,has not already done?
AM I NOT AMONG THE EARLY RISERS,"What countries, what visitations,"
AM I NOT AMONG THE EARLY RISERS,what pomp
AM I NOT AMONG THE EARLY RISERS,would satisfy me as thoroughly as Blackwater Woods
AM I NOT AMONG THE EARLY RISERS,"on a sun-filled morning, or, equally, in the rain?"
AM I NOT AMONG THE EARLY RISERS,Here is an amazement—once I was twenty years old and in
AM I NOT AMONG THE EARLY RISERS,"every motion of my body there was a delicious ease,"
AM I NOT AMONG THE EARLY RISERS,and in every motion of the green earth there was
AM I NOT AMONG THE EARLY RISERS,"a hint of paradise,"
AM I NOT AMONG THE EARLY RISERS,"and now I am sixty years old, and it is the same."
AM I NOT AMONG THE EARLY RISERS,Above the modest house and the palace—the same darkness.
AM I NOT AMONG THE EARLY RISERS,"Above the evil man and the just, the same stars."
AM I NOT AMONG THE EARLY RISERS,Above the child who will recover and the child who will
AM I NOT AMONG THE EARLY RISERS,"not recover, the same energies roll forward,"
AM I NOT AMONG THE EARLY RISERS,from one tragedy to the next and from one foolishness to the next.
AM I NOT AMONG THE EARLY RISERS,I bow down.
AM I NOT AMONG THE EARLY RISERS,"Have I not loved as though the beloved could vanish at any moment,"
AM I NOT AMONG THE EARLY RISERS,"or become preoccupied, or whisper a name other than mine"
AM I NOT AMONG THE EARLY RISERS,"in the stretched curvatures of lust, or over the dinner table?"
AM I NOT AMONG THE EARLY RISERS,Have I ever taken good fortune for granted?
AM I NOT AMONG THE EARLY RISERS,"Have I not, every spring, befriended the swarm that pours forth?"
AM I NOT AMONG THE EARLY RISERS,"Have I not summoned the honey-man to come, to hurry,"
AM I NOT AMONG THE EARLY RISERS,to bring with him the white and comfortable hive?
AM I NOT AMONG THE EARLY RISERS,"And, while I waited, have I not leaned close, to see everything?"
AM I NOT AMONG THE EARLY RISERS,"Have I not been stung as I watched their milling and gleaming,"
AM I NOT AMONG THE EARLY RISERS,and stung hard?
AM I NOT AMONG THE EARLY RISERS,"Have I not been ready always at the iron door,"
AM I NOT AMONG THE EARLY RISERS,not knowing to what country it opens—to death or to more life?
AM I NOT AMONG THE EARLY RISERS,Have I ever said that the day was too hot or too cold
AM I NOT AMONG THE EARLY RISERS,"or the night too long and as black as oil anyway,"
AM I NOT AMONG THE EARLY RISERS,"or the morning, washed blue and emptied entirely"
AM I NOT AMONG THE EARLY RISERS,"of the second-rate, less than happiness"
AM I NOT AMONG THE EARLY RISERS,as I stepped down from the porch and set out along
AM I NOT AMONG THE EARLY RISERS,the green paths of the world?
AN OLD STORY,Sleep comes its little while. Then I wake
AN OLD STORY,in the valley of midnight or three a.m.
AN OLD STORY,to the first fragrances of spring
AN OLD STORY,"which is coming, all by itself, no matter what."
AN OLD STORY,"My heart says, what you thought you have you do not have."
AN OLD STORY,"My body says, will this pounding ever stop?"
AN OLD STORY,"My heart says: there, there, be a good student."
AN OLD STORY,"My body says: let me up and out, I want to fondle"
AN OLD STORY,"those soft white flowers, open in the night."
AT BLACKWATER POND,At Blackwater Pond the tossed waters have settled
AT BLACKWATER POND,after a night of rain.
AT BLACKWATER POND,I dip my cupped hands. I drink
AT BLACKWATER POND,a long time. It tastes
AT BLACKWATER POND,"like stone, leaves, fire. It falls cold"
AT BLACKWATER POND,"into my body, waking the bones. I hear them"
AT BLACKWATER POND,"deep inside me, whispering"
AT BLACKWATER POND,oh what is that beautiful thing
AT BLACKWATER POND,that just happened?
AUGUST,When the blackberries hang
AUGUST,"swollen in the woods, in the brambles"
AUGUST,"nobody owns, I spend"
AUGUST,all day among the high
AUGUST,"branches, reaching"
AUGUST,"my ripped arms, thinking"
AUGUST,"of nothing, cramming"
AUGUST,the black honey of summer
AUGUST,into my mouth; all day my body
AUGUST,accepts what it is. In the dark
AUGUST,creeks that run by there is
AUGUST,this thick paw of my life darting among
AUGUST,"the black bells, the leaves; there is"
AUGUST,this happy tongue
AUNT LEAF,"Needing one, I invented her—"
AUNT LEAF,the great-great-aunt dark as hickory
AUNT LEAF,"called Shining-Leaf, or Drifting-Cloud"
AUNT LEAF,or The-Beauty-of-the-Night.
AUNT LEAF,"Dear aunt, I’d call into the leaves,"
AUNT LEAF,"and she’d rise up, like an old log in a pool,"
AUNT LEAF,and whisper in a language only the two of us knew
AUNT LEAF,"the word that meant follow,"
AUNT LEAF,and we’d travel
AUNT LEAF,cheerful as birds
AUNT LEAF,out of the dusty town and into the trees
AUNT LEAF,where she would change us both into something quicker—
AUNT LEAF,"two foxes with black feet,"
AUNT LEAF,"two snakes green as ribbons,"
AUNT LEAF,two shimmering fish—
AUNT LEAF,and all day we’d travel.
AUNT LEAF,At day’s end she’d leave me back at my own door
AUNT LEAF,"with the rest of my family,"
AUNT LEAF,"who were kind, but solid as wood"
AUNT LEAF,"and rarely wandered. While she,"
AUNT LEAF,"old twist of feathers and birch bark,"
AUNT LEAF,would walk in circles wide as rain and then
AUNT LEAF,float back
AUNT LEAF,scattering the rags of twilight
AUNT LEAF,on fluttering moth wings;
AUNT LEAF,or she’d slouch from the barn like a gray opossum;
AUNT LEAF,or she’d hang in the milky moonlight
AUNT LEAF,"burning like a medallion,"
AUNT LEAF,"this bone dream,"
AUNT LEAF,"this friend I had to have,"
AUNT LEAF,this old woman made out of leaves.
BEAVER MOON,When somewhere life
BEAVER MOON,"breaks like a pane of glass,"
BEAVER MOON,and from every direction casual
BEAVER MOON,"voices are bringing you the news,"
BEAVER MOON,you say: I should have known.
BEAVER MOON,You say: I should have been aware.
BEAVER MOON,That last Friday he looked
BEAVER MOON,"so ill, like an old mountain-climber"
BEAVER MOON,"lost on the white trails, listening"
BEAVER MOON,"to the ice breaking upward, under"
BEAVER MOON,his worn-out shoes. You say:
BEAVER MOON,"I heard rumors of trouble, but after all"
BEAVER MOON,we all have that. You say:
BEAVER MOON,what could I have done? and you go
BEAVER MOON,"with the rest, to bury him."
BEAVER MOON,"That night, you turn in your bed"
BEAVER MOON,"to watch the moon rise, and once more"
BEAVER MOON,see what a small coin it is
BEAVER MOON,"against the darkness, and how everything else"
BEAVER MOON,"is a mystery, and you know"
BEAVER MOON,nothing at all except
BEAVER MOON,the moonlight is beautiful—
BEAVER MOON,white rivers running together
BEAVER MOON,along the bare boughs of the trees—
BEAVER MOON,"and somewhere, for someone, life"
BEAVER MOON,is becoming moment by moment
BEAVER MOON,unbearable.
BENJAMIN,What shall I do?
BENJAMIN,When I pick up the broom
BENJAMIN,he leaves the room.
BENJAMIN,When I fuss with kindling he
BENJAMIN,runs for the yard.
BENJAMIN,"Then he’s back, and we"
BENJAMIN,hug for a long time.
BENJAMIN,In his low-to-the-ground chest
BENJAMIN,I can hear his heart slowing down.
BENJAMIN,Then I rub his shoulders and
BENJAMIN,kiss his feet
BENJAMIN,and fondle his long hound ears.
BENJAMIN,"Benny, I say,"
BENJAMIN,don’t worry. I also know the way
BENJAMIN,the old life haunts the new.
BEYOND THE SNOW BELT,"Over the local stations, one by one,"
BEYOND THE SNOW BELT,Announcers list disasters like dark poems
BEYOND THE SNOW BELT,That always happen in the skull of winter.
BEYOND THE SNOW BELT,But once again the storm has passed us by:
BEYOND THE SNOW BELT,"Lovely and moderate, the snow lies down"
BEYOND THE SNOW BELT,"While shouting children hurry back to play,"
BEYOND THE SNOW BELT,And scarved and smiling citizens once more
BEYOND THE SNOW BELT,Sweep down their easy paths of pride and welcome.
BEYOND THE SNOW BELT,And what else might we do? Let us be truthful.
BEYOND THE SNOW BELT,Two counties north the storm has taken lives.
BEYOND THE SNOW BELT,"Two counties north, to us, is far away,—"
BEYOND THE SNOW BELT,"A land of trees, a wing upon a map,"
BEYOND THE SNOW BELT,"A wild place never visited,—so we"
BEYOND THE SNOW BELT,Forget with ease each far mortality.
BEYOND THE SNOW BELT,Peacefully from our frozen yards we watch
BEYOND THE SNOW BELT,Our children running on the mild white hills.
BEYOND THE SNOW BELT,"This is the landscape that we understand,—"
BEYOND THE SNOW BELT,"And till the principle of things takes root,"
BEYOND THE SNOW BELT,How shall examples move us from our calm?
BEYOND THE SNOW BELT,I do not say that it is not a fault.
BEYOND THE SNOW BELT,"I only say, except as we have loved,"
BEYOND THE SNOW BELT,All news arrives as from a distant land.
BLACK OAKS,"Okay, not one can write a symphony, or a dictionary,"
BLACK OAKS,"or even a letter to an old friend, full of remembrance"
BLACK OAKS,and comfort.
BLACK OAKS,"Not one can manage a single sound, though the blue jays"
BLACK OAKS,"carp and whistle all day in the branches, without"
BLACK OAKS,the push of the wind.
BLACK OAKS,But to tell the truth after a while I’m pale with longing
BLACK OAKS,for their thick bodies ruckled with lichen
BLACK OAKS,"and you can’t keep me from the woods, from the tonnage"
BLACK OAKS,"of their shoulders, and their shining green hair."
BLACK OAKS,"Today is a day like any other: twenty-four hours, a"
BLACK OAKS,"little sunshine, a little rain."
BLACK OAKS,"Listen, says ambition, nervously shifting her weight from"
BLACK OAKS,one boot to another—why don’t you get going?
BLACK OAKS,"For there I am, in the mossy shadows, under the trees."
BLACK OAKS,And to tell the truth I don’t want to let go of the wrists
BLACK OAKS,"of idleness, I don’t want to sell my life for money,"
BLACK OAKS,I don’t even want to come in out of the rain.
BLACKBERRIES,I come down.
BLACKBERRIES,Come down the blacktop road from Red Rock.
BLACKBERRIES,A hot day.
BLACKBERRIES,Off the road in the hacked tangles
BLACKBERRIES,blackberries big as thumbs hang shining
BLACKBERRIES,in the shade. And a creek nearby: a dark
BLACKBERRIES,spit through wet stones. And a pool
BLACKBERRIES,like a stonesink if you know
BLACKBERRIES,where to climb for it among
BLACKBERRIES,"the hillside ferns, where the thrush"
BLACKBERRIES,naps in her nest of sticks and loam. I
BLACKBERRIES,"come down from Red Rock, lips streaked"
BLACKBERRIES,"black, fingers purple, throat cool, shirt"
BLACKBERRIES,"full of fernfingers, head full of windy"
BLACKBERRIES,whistling. It
BLACKBERRIES,takes all day.
BLUE IRIS,"Now that I’m free to be myself, who am I?"
BLUE IRIS,"Can’t fly, can’t run, and see how slowly I walk."
BLUE IRIS,"Well, I think, I can read books."
BLUE IRIS,What’s that you’re doing?
BLUE IRIS,the green-headed fly shouts as it buzzes past.
BLUE IRIS,I close the book.
BLUE IRIS,"Well, I can write down words, like these, softly."
BLUE IRIS,"What’s that you’re doing? whispers the wind, pausing"
BLUE IRIS,in a heap just outside the window.
BLUE IRIS,"Give me a little time, I say back to its staring, silver face."
BLUE IRIS,"It doesn’t happen all of a sudden, you know."
BLUE IRIS,"Doesn’t it? says the wind, and breaks open, releasing"
BLUE IRIS,distillation of blue iris.
BLUE IRIS,"And my heart panics not to be, as I long to be,"
BLUE IRIS,"the empty, waiting, pure, speechless receptacle."
BUDDHA’S LAST INSTRUCTION,"Make of yourself a light,"
BUDDHA’S LAST INSTRUCTION,"said the Buddha,"
BUDDHA’S LAST INSTRUCTION,before he died.
BUDDHA’S LAST INSTRUCTION,I think of this every morning
BUDDHA’S LAST INSTRUCTION,as the east begins
BUDDHA’S LAST INSTRUCTION,to tear off its many clouds
BUDDHA’S LAST INSTRUCTION,"of darkness, to send up the first"
BUDDHA’S LAST INSTRUCTION,signal—a white fan
BUDDHA’S LAST INSTRUCTION,"streaked with pink and violet,"
BUDDHA’S LAST INSTRUCTION,even green.
BUDDHA’S LAST INSTRUCTION,"An old man, he lay down"
BUDDHA’S LAST INSTRUCTION,"between two sala trees,"
BUDDHA’S LAST INSTRUCTION,"and he might have said anything,"
BUDDHA’S LAST INSTRUCTION,knowing it was his final hour.
BUDDHA’S LAST INSTRUCTION,"The light burns upward,"
BUDDHA’S LAST INSTRUCTION,it thickens and settles over the fields.
BUDDHA’S LAST INSTRUCTION,"Around him, the villagers gathered"
BUDDHA’S LAST INSTRUCTION,and stretched forward to listen.
BUDDHA’S LAST INSTRUCTION,Even before the sun itself
BUDDHA’S LAST INSTRUCTION,"hangs, disattached, in the blue air,"
BUDDHA’S LAST INSTRUCTION,I am touched everywhere
BUDDHA’S LAST INSTRUCTION,by its ocean of yellow waves.
BUDDHA’S LAST INSTRUCTION,No doubt he thought of everything
BUDDHA’S LAST INSTRUCTION,that had happened in his difficult life.
BUDDHA’S LAST INSTRUCTION,And then I feel the sun itself
BUDDHA’S LAST INSTRUCTION,"as it blazes over the hills,"
BUDDHA’S LAST INSTRUCTION,like a million flowers on fire—
BUDDHA’S LAST INSTRUCTION,"clearly I’m not needed,"
BUDDHA’S LAST INSTRUCTION,yet I feel myself turning
BUDDHA’S LAST INSTRUCTION,into something of inexplicable value.
BUDDHA’S LAST INSTRUCTION,"Slowly, beneath the branches,"
BUDDHA’S LAST INSTRUCTION,he raised his head.
BUDDHA’S LAST INSTRUCTION,He looked into the faces of that frightened crowd.
CAN YOU IMAGINE?,"For example, what the trees do"
CAN YOU IMAGINE?,not only in lightning storms
CAN YOU IMAGINE?,or the watery dark of a summer night
CAN YOU IMAGINE?,or under the white nets of winter
CAN YOU IMAGINE?,"but now, and now, and now—whenever"
CAN YOU IMAGINE?,we’re not looking. Surely you can’t imagine
CAN YOU IMAGINE?,they just stand there looking the way they look
CAN YOU IMAGINE?,when we’re looking; surely you can’t imagine
CAN YOU IMAGINE?,"they don’t dance, from the root up, wishing"
CAN YOU IMAGINE?,"to travel a little, not cramped so much as wanting"
CAN YOU IMAGINE?,"a better view, or more sun, or just as avidly"
CAN YOU IMAGINE?,more shade—surely you can’t imagine they just
CAN YOU IMAGINE?,stand there loving every
CAN YOU IMAGINE?,"minute of it; the birds or the emptiness, the dark rings"
CAN YOU IMAGINE?,of the years slowly and without a sound
CAN YOU IMAGINE?,"thickening, and nothing different unless the wind,"
CAN YOU IMAGINE?,"and then only in its own mood, comes"
CAN YOU IMAGINE?,"to visit, surely you can’t imagine"
CAN YOU IMAGINE?,"patience, and happiness, like that."
CATBIRD,"He picks his pond, and the soft thicket of his world."
CATBIRD,"He bids his lady come, and she does,"
CATBIRD,flirting with her tail.
CATBIRD,"He begins early, and makes up his song as he goes."
CATBIRD,"He does not enter a house at night, or when it rains."
CATBIRD,"He is not afraid of the wind, though he is cautious."
CATBIRD,"He watches the snake, that stripe of black fire,"
CATBIRD,until it flows away.
CATBIRD,"He watches the hawk with her sharpest shins, aloft"
CATBIRD,in the high tree.
CATBIRD,He keeps his prayer under his tongue.
CATBIRD,In his whole life he has never missed the rising of the sun.
CATBIRD,He dislikes snow.
CATBIRD,But a few raisins give him the greatest delight.
CATBIRD,"He sits in the forelock of the lilac, or he struts"
CATBIRD,in its shadow.
CATBIRD,"He is neither the rare plover or the brilliant bunting,"
CATBIRD,but as common as grass.
CATBIRD,"His black cap gives him a jaunty look, for which"
CATBIRD,"we humans have learned to tilt our caps, in envy."
CATBIRD,"When he is not singing, he is listening."
CATBIRD,Neither have I ever seen him with his eyes closed.
CATBIRD,Though he may be looking at nothing more than a cloud
CATBIRD,it brings to his mind a several dozen new remarks.
CATBIRD,"From one branch to another, or across the path,"
CATBIRD,he dazzles with flight.
CATBIRD,"Since I see him every morning, I have rewarded myself"
CATBIRD,the pleasure of thinking that he knows me.
CATBIRD,"Yet never, once has he answered my nod."
CATBIRD,"He seems, in fact, to find in me a kind of humor,"
CATBIRD,"I am so vast, uncertain and strange."
CATBIRD,"I am the one who comes and goes,"
CATBIRD,and who knows why.
CATBIRD,Will I ever understand him?
CATBIRD,"Certainly he will never understand me, or the world"
CATBIRD,I come from.
CATBIRD,For he will never sing for the kingdom of dollars.
CATBIRD,For he will never grow pockets in his gray wings.
CLAPP’S POND,Three miles through the woods
CLAPP’S POND,Clapp’s Pond sprawls stone gray
CLAPP’S POND,"among oaks and pines,"
CLAPP’S POND,the late winter fields
CLAPP’S POND,where a pheasant blazes up
CLAPP’S POND,lifting his yellow legs
CLAPP’S POND,"under bronze feathers, opening"
CLAPP’S POND,bronze wings;
CLAPP’S POND,"and one doe, dimpling the ground as she touches"
CLAPP’S POND,"its dampness sharply, flares"
CLAPP’S POND,out of the brush and gallops away.
CLAPP’S POND,By evening: rain.
CLAPP’S POND,"It pours down from the black clouds,"
CLAPP’S POND,lashes over the roof. The last
CLAPP’S POND,acorns spray over the porch; I toss
CLAPP’S POND,"one, then two more"
CLAPP’S POND,logs on the fire.
CLAPP’S POND,How sometimes everything
CLAPP’S POND,"closes up, a painted fan, landscapes and moments"
CLAPP’S POND,flowing together until the sense of distance—
CLAPP’S POND,"say, between Clapp’s Pond and me—"
CLAPP’S POND,"vanishes, edges slide together"
CLAPP’S POND,"like the feathers of a wing, everything"
CLAPP’S POND,touches everything.
DAISIES,"It is possible, I suppose, that sometime"
DAISIES,we will learn everything
DAISIES,"there is to learn: what the world is, for example,"
DAISIES,and what it means. I think this as I am crossing
DAISIES,"from one field to another, in summer, and the"
DAISIES,"mockingbird is mocking me, as one who either"
DAISIES,knows enough already or knows enough to be
DAISIES,perfectly content not knowing. Song being born
DAISIES,of quest he knows this: he must turn silent
DAISIES,were he suddenly assaulted with answers. Instead
DAISIES,"oh hear his wild, caustic, tender warbling ceaselessly"
DAISIES,unanswered. At my feet the white-petaled daisies display
DAISIES,"the small suns of their center-piece—their, if you don’t"
DAISIES,mind my saying so—their hearts. Of course
DAISIES,"I could be wrong, perhaps their hearts are pale and"
DAISIES,narrow and hidden in the roots. What do I know.
DAISIES,"But this: it is heaven itself to take what is given,"
DAISIES,to see what is plain; what the sun
DAISIES,lights up willingly; for example—I think this
DAISIES,"as I reach down, not to pick but merely to touch"
DAISIES,"the suitability of the field for the daisies, and the"
DAISIES,daisies for the field.
DO STONES FEEL?,Do stones feel?
DO STONES FEEL?,Do they love their life?
DO STONES FEEL?,Or does their patience drown out everything else?
DO STONES FEEL?,When I walk on the beach I gather a few
DO STONES FEEL?,"white ones, dark ones, the multiple colors."
DO STONES FEEL?,"Don’t worry, I say, I’ll bring you back, and I do."
DO STONES FEEL?,Is the tree as it rises delighted with its many
DO STONES FEEL?,"branches,"
DO STONES FEEL?,each one like a poem?
DO STONES FEEL?,Are the clouds glad to unburden their bundles of rain?
DO STONES FEEL?,"Most of the world says no, no, it’s not possible."
DO STONES FEEL?,I refuse to think to such a conclusion.
DO STONES FEEL?,"Too terrible it would be, to be wrong."
"Early Morning, My Birthday",The snails on the pink sleds of their bodies are moving
"Early Morning, My Birthday",among the morning glories.
"Early Morning, My Birthday",The spider is asleep among the red thumbs
"Early Morning, My Birthday",of the raspberries.
"Early Morning, My Birthday","What shall I do, what shall I do?"
"Early Morning, My Birthday",The rain is slow.
"Early Morning, My Birthday",The little birds are alive in it.
"Early Morning, My Birthday",Even the beetles.
"Early Morning, My Birthday",The green leaves lap it up.
"Early Morning, My Birthday","What shall I do, what shall I do?"
"Early Morning, My Birthday",The wasp sits on the porch of her paper castle.
"Early Morning, My Birthday",The blue heron floats out of the clouds.
"Early Morning, My Birthday","The fish leap, all rainbow and mouth, from the dark water."
"Early Morning, My Birthday","This morning the water lilies are no less lovely, I think,"
"Early Morning, My Birthday",than the lilies of Monet.
"Early Morning, My Birthday","And I do not want anymore to be useful, to be docile, to lead"
"Early Morning, My Birthday",children out of the fields into the text
"Early Morning, My Birthday",of civility to teach them that they are (they are not) better
"Early Morning, My Birthday",than the grass.
FIREFLIES,At Blackwater
FIREFLIES,fireflies
FIREFLIES,are not even a dime a dozen—
FIREFLIES,"they are free,"
FIREFLIES,and each floats and turns
FIREFLIES,among the branches of the oaks
FIREFLIES,and the swamp azaleas
FIREFLIES,looking for another
FIREFLIES,"as, who doesn’t?"
FIREFLIES,"Oh, blessings"
FIREFLIES,on the intimacy
FIREFLIES,"inside fruition,"
FIREFLIES,be it foxes
FIREFLIES,or the fireflies
FIREFLIES,or the dampness inside the petals
FIREFLIES,of a thousand flowers.
FIREFLIES,Though Eden is lost
FIREFLIES,its loveliness
FIREFLIES,remains in the heart
FIREFLIES,and the imagination;
FIREFLIES,he would take her
FIREFLIES,in a boat
FIREFLIES,over the dark water;
FIREFLIES,she would take him
FIREFLIES,to an island she knows
FIREFLIES,where the blue flag grows wild
FIREFLIES,"and the grass is deep,"
FIREFLIES,where the birds
FIREFLIES,"perch together,"
FIREFLIES,"feather to feather,"
FIREFLIES,on the bough.
FIREFLIES,"And the fireflies,"
FIREFLIES,"blinking their little lights,"
FIREFLIES,hurry toward one another.
FIREFLIES,"And the world continues,"
FIREFLIES,God willing.
FIVE A.M. IN THE PINEWOODS,I’d seen
FIVE A.M. IN THE PINEWOODS,their hoofprints in the deep
FIVE A.M. IN THE PINEWOODS,needles and knew
FIVE A.M. IN THE PINEWOODS,they ended the long night
FIVE A.M. IN THE PINEWOODS,"under the pines, walking"
FIVE A.M. IN THE PINEWOODS,like two mute
FIVE A.M. IN THE PINEWOODS,and beautiful women toward
FIVE A.M. IN THE PINEWOODS,"the deeper woods, so I"
FIVE A.M. IN THE PINEWOODS,got up in the dark and
FIVE A.M. IN THE PINEWOODS,went there. They came
FIVE A.M. IN THE PINEWOODS,slowly down the hill
FIVE A.M. IN THE PINEWOODS,and looked at me sitting under
FIVE A.M. IN THE PINEWOODS,"the blue trees, shyly"
FIVE A.M. IN THE PINEWOODS,they stepped
FIVE A.M. IN THE PINEWOODS,closer and stared
FIVE A.M. IN THE PINEWOODS,from under their thick lashes and even
FIVE A.M. IN THE PINEWOODS,nibbled some damp
FIVE A.M. IN THE PINEWOODS,tassels of weeds. This
FIVE A.M. IN THE PINEWOODS,"is not a poem about a dream,"
FIVE A.M. IN THE PINEWOODS,though it could be.
FIVE A.M. IN THE PINEWOODS,This is a poem about the world
FIVE A.M. IN THE PINEWOODS,"that is ours, or could be."
FIVE A.M. IN THE PINEWOODS,Finally
FIVE A.M. IN THE PINEWOODS,one of them—I swear it!—
FIVE A.M. IN THE PINEWOODS,would have come to my arms.
FIVE A.M. IN THE PINEWOODS,But the other
FIVE A.M. IN THE PINEWOODS,stamped sharp hoof in the
FIVE A.M. IN THE PINEWOODS,pine needles like
FIVE A.M. IN THE PINEWOODS,"the tap of sanity,"
FIVE A.M. IN THE PINEWOODS,and they went off together through
FIVE A.M. IN THE PINEWOODS,the trees. When I woke
FIVE A.M. IN THE PINEWOODS,"I was alone,"
